condition,step,x,y,heading,left_sensor,right_sensor,requested_action,action,locomotion_drive,left_drive,right_drive,turn_bias,collision
left,0,15.0,10.0,0.0,0.3535533905932738,0.0,idle,idle,0.01904761904761905,0.017857142857142856,0.0,-0.017857142857142856,False
left,1,15.46968635642369,10.171448903727725,0.35,0.3535533905932738,0.0,turn_left,turn_left,0.21904761904761905,0.3392857142857143,0.07317073170731707,-0.2661149825783972,False
left,2,15.93937271284738,10.34289780745545,0.35,0.4513290242274476,0.0,walk_forward,walk_forward,0.2571428571428571,0.19642857142857142,0.2682926829268293,0.07186411149825786,False
left,3,16.43937271284738,10.34289780745545,0.0,0.44808892561036184,0.0,turn_right,turn_right,0.45714285714285713,0.39285714285714285,0.5853658536585366,0.1925087108013937,False
left,4,16.90905906927107,10.514346711183176,0.35,0.3230691216602568,0.0,turn_left,turn_left,0.2857142857142857,0.4107142857142857,0.14634146341463414,-0.26437282229965153,False
left,5,17.37874542569476,10.685795614910901,0.35,0.43285443643184635,0.0,walk_forward,walk_forward,0.2571428571428571,0.19642857142857142,0.2682926829268293,0.07186411149825786,False
left,6,17.87874542569476,10.685795614910901,0.0,0.42611269618125597,0.0,turn_right,turn_right,0.45714285714285713,0.39285714285714285,0.5853658536585366,0.1925087108013937,False
left,7,18.34843178211845,10.857244518638627,0.35,0.2842747819050126,0.0,turn_left,turn_left,0.2857142857142857,0.4107142857142857,0.14634146341463414,-0.26437282229965153,False
left,8,18.81811813854214,11.028693422366352,0.35,0.4047718429309167,0.0,walk_forward,walk_forward,0.2571428571428571,0.19642857142857142,0.2682926829268293,0.07186411149825786,False
left,9,19.31811813854214,11.028693422366352,0.0,0.39486285994326187,0.0,turn_right,turn_right,0.45714285714285713,0.39285714285714285,0.5853658536585366,0.1925087108013937,False
left,10,19.78780449496583,11.200142326094078,0.35,0.23924729452493432,0.0,turn_left,turn_left,0.2857142857142857,0.4107142857142857,0.14634146341463414,-0.26437282229965153,False
left,11,20.25749085138952,11.371591229821803,0.35,0.36859654116029106,0.0,walk_forward,walk_forward,0.2571428571428571,0.19642857142857142,0.2682926829268293,0.07186411149825786,False
left,12,20.75749085138952,11.371591229821803,0.0,0.3561516098072537,0.0,turn_right,turn_right,0.45714285714285713,0.39285714285714285,0.5853658536585366,0.1925087108013937,False
left,13,21.22717720781321,11.543040133549528,0.35,0.19066885770883008,0.0,turn_left,turn_left,0.2857142857142857,0.4107142857142857,0.14634146341463414,-0.26437282229965153,False
left,14,21.6968635642369,11.714489037277254,0.35,0.3265744966540994,0.0,walk_forward,walk_forward,0.2571428571428571,0.19642857142857142,0.2682926829268293,0.07186411149825786,False
left,15,22.1968635642369,11.714489037277254,0.0,0.31242588358368767,0.0,turn_right,turn_right,0.45714285714285713,0.39285714285714285,0.5853658536585366,0.1925087108013937,False
left,16,22.66654992066059,11.885937941004979,0.35,0.1414290646087719,0.0,turn_left,turn_left,0.2857142857142857,0.4107142857142857,0.14634146341463414,-0.26437282229965153,False
left,17,23.13623627708428,12.057386844732704,0.35,0.2813254360148972,0.0,walk_forward,walk_forward,0.2571428571428571,0.19642857142857142,0.2682926829268293,0.07186411149825786,False
left,18,23.63623627708428,12.057386844732704,0.0,0.26636943472626096,0.0,turn_right,turn_right,0.45714285714285713,0.39285714285714285,0.5853658536585366,0.1925087108013937,False
left,19,24.10592263350797,12.22883574846043,0.35,0.0942033891930027,0.0,turn_left,turn_left,0.2857142857142857,0.4107142857142857,0.14634146341463414,-0.26437282229965153,False
left,20,24.57560898993166,12.400284652188155,0.35,0.23543416888714905,0.0,walk_forward,walk_forward,0.2571428571428571,0.19642857142857142,0.2682926829268293,0.07186411149825786,False
