scenario,step,requested_action,action,turn_bias,delta_heading,delta_x,delta_y,delta_distance,collision
left,1,turn_left,turn_left,-0.2661149825783972,0.35,0.46968635642368994,0.17144890372772537,-0.16023262848935538,False
left,2,walk_forward,walk_forward,0.07186411149825786,0.0,0.46968635642368994,0.17144890372772537,-0.13708506964736067,False
left,3,turn_right,turn_right,0.1925087108013937,-0.35,0.5,0.0,0.06109855207533599,False
left,4,turn_left,turn_left,-0.26437282229965153,0.35,0.46968635642368994,0.17144890372772537,-0.08792818631249766,False
left,5,walk_forward,walk_forward,0.07186411149825786,0.0,0.46968635642368994,0.17144890372772537,-0.06269329479365382,False
left,6,turn_right,turn_right,0.1925087108013937,-0.35,0.5,0.0,0.13576767342095408,False
left,7,turn_left,turn_left,-0.26437282229965153,0.35,0.46968635642368994,0.17144890372772537,-0.012296561765250402,False
left,8,walk_forward,walk_forward,0.07186411149825786,0.0,0.46968635642368994,0.17144890372772537,0.013362737548305859,False
left,9,turn_right,turn_right,0.1925087108013937,-0.35,0.5,0.0,0.2064361564254309,False
left,10,turn_left,turn_left,-0.26437282229965153,0.35,0.46968635642368994,0.17144890372772537,0.06158274785416751,False
left,11,walk_forward,walk_forward,0.07186411149825786,0.0,0.46968635642368994,0.17144890372772537,0.08597955804968826,False
left,12,turn_right,turn_right,0.1925087108013937,-0.35,0.5,0.0,0.26896058628129715,False
left,13,turn_left,turn_left,-0.26437282229965153,0.35,0.46968635642368994,0.17144890372772537,0.12932872732010914,False
left,14,walk_forward,walk_forward,0.07186411149825786,0.0,0.46968635642368994,0.17144890372772537,0.1512476902845563,False
left,15,turn_right,turn_right,0.1925087108013937,-0.35,0.5,0.0,0.3211939540586215,False
left,16,turn_left,turn_left,-0.26437282229965153,0.35,0.46968635642368994,0.17144890372772537,0.1883410403532686,False
left,17,walk_forward,walk_forward,0.07186411149825786,0.0,0.46968635642368994,0.17144890372772537,0.207224110121901,False
left,18,turn_right,turn_right,0.1925087108013937,-0.35,0.5,0.0,0.36298458826196267,False
left,19,turn_left,turn_left,-0.26437282229965153,0.35,0.46968635642368994,0.17144890372772537,0.23789384584283368,False
left,20,walk_forward,walk_forward,0.07186411149825786,0.0,0.46968635642368994,0.17144890372772537,0.25372481130822244,False
left,21,turn_right,turn_right,0.1925087108013937,-0.35,0.5,0.0,0.3954722642487649,False
left,22,turn_left,turn_left,-0.26437282229965153,0.35,0.46968635642368994,0.17144890372772537,0.27856674256689296,False
left,23,walk_forward,walk_forward,0.07186411149825786,0.0,0.46968635642368994,0.17144890372772537,0.291643207372573,False
left,24,turn_right,turn_right,0.1925087108013937,-0.35,0.5,0.0,0.4203122599287443,False
left,25,turn_left,turn_left,-0.26437282229965153,0.35,0.46968635642368994,0.17144890372772537,0.3115681940609356,False
left,26,walk_forward,walk_forward,0.07186411149825786,0.0,0.46968635642368994,0.17144890372772537,0.32230778629272017,False
left,27,turn_right,turn_right,0.1925087108013937,-0.35,0.5,0.0,0.4391611575853194,False
left,28,turn_left,turn_left,-0.26437282229965153,0.35,0.46968635642368994,0.17144890372772537,0.3382537410649622,False
left,29,walk_forward,walk_forward,0.07186411149825786,0.0,0.46968635642368994,0.17144890372772537,0.3470780689715305,False
left,30,turn_right,turn_right,0.1925087108013937,-0.35,0.5,0.0,0.45344157400254304,False
left,31,turn_left,turn_left,-0.26437282229965153,0.35,0.46968635642368994,0.17144890372772537,0.35987469112987647,False
left,32,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,33,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
left,34,turn_left,rest,-0.26437282229965153,0.0,0.0,0.0,0.0,True
left,35,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,36,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
left,37,turn_left,rest,-0.26437282229965153,0.0,0.0,0.0,0.0,True
left,38,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,39,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
left,40,turn_left,rest,-0.26437282229965153,0.0,0.0,0.0,0.0,True
left,41,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,42,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
left,43,turn_left,rest,-0.26437282229965153,0.0,0.0,0.0,0.0,True
left,44,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,45,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
left,46,turn_left,rest,-0.26437282229965153,0.0,0.0,0.0,0.0,True
left,47,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,48,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
left,49,turn_left,rest,-0.26437282229965153,0.0,0.0,0.0,0.0,True
left,50,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,51,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
left,52,turn_left,rest,-0.26437282229965153,0.0,0.0,0.0,0.0,True
left,53,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,54,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
left,55,turn_left,rest,-0.26437282229965153,0.0,0.0,0.0,0.0,True
left,56,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,57,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
left,58,turn_left,rest,-0.26437282229965153,0.0,0.0,0.0,0.0,True
left,59,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,60,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
left,61,turn_left,rest,-0.26437282229965153,0.0,0.0,0.0,0.0,True
left,62,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,63,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
left,64,turn_left,rest,-0.26437282229965153,0.0,0.0,0.0,0.0,True
left,65,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,66,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
left,67,turn_left,rest,-0.26437282229965153,0.0,0.0,0.0,0.0,True
left,68,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,69,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
left,70,turn_left,rest,-0.26437282229965153,0.0,0.0,0.0,0.0,True
left,71,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,72,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
left,73,turn_left,rest,-0.26437282229965153,0.0,0.0,0.0,0.0,True
left,74,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,75,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
left,76,turn_left,rest,-0.26437282229965153,0.0,0.0,0.0,0.0,True
left,77,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,78,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
left,79,turn_left,rest,-0.26437282229965153,0.0,0.0,0.0,0.0,True
left,80,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,81,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
left,82,turn_left,rest,-0.26437282229965153,0.0,0.0,0.0,0.0,True
left,83,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,84,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
left,85,turn_left,rest,-0.26437282229965153,0.0,0.0,0.0,0.0,True
left,86,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,87,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
left,88,turn_left,rest,-0.26437282229965153,0.0,0.0,0.0,0.0,True
left,89,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,90,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
left,91,turn_left,rest,-0.26437282229965153,0.0,0.0,0.0,0.0,True
left,92,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,93,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
left,94,turn_left,rest,-0.26437282229965153,0.0,0.0,0.0,0.0,True
left,95,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,96,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
left,97,turn_left,rest,-0.26437282229965153,0.0,0.0,0.0,0.0,True
left,98,walk_forward,rest,0.07186411149825786,0.0,0.0,0.0,0.0,True
left,99,turn_right,rest,0.1925087108013937,0.0,0.0,0.0,0.0,True
right,1,turn_right,turn_right,0.2621951219512195,-0.35,0.38242109364224497,-0.32210884361884595,-0.29521230542755994,False
right,2,turn_left,turn_left,-0.10191637630662023,0.35,0.46968635642368817,-0.17144890372772537,-0.11644604617026566,False
right,3,walk_forward,walk_forward,-0.017421602787456414,0.0,0.46968635642368994,-0.17144890372772537,-0.09108872577022709,False
right,4,turn_right,turn_right,0.11933797909407667,-0.35,0.3824210936422432,-0.32210884361884595,-0.23225065564405512,False
right,5,turn_left,turn_left,-0.10191637630662023,0.35,0.46968635642368994,-0.17144890372772537,-0.040707369933869586,False
right,6,walk_forward,walk_forward,-0.017421602787456414,0.0,0.46968635642368994,-0.17144890372772537,-0.013226978564604863,False
right,7,turn_right,turn_right,0.11933797909407667,-0.35,0.3824210936422432,-0.32210884361884595,-0.1584860865301465,False
right,8,turn_left,turn_left,-0.10191637630662023,0.35,0.46968635642368994,-0.17144890372772537,0.04095675519782738,False
right,9,walk_forward,walk_forward,-0.017421602787456414,0.0,0.46968635642368994,-0.17144890372772537,0.06858475083796378,False
right,10,turn_right,turn_right,0.11933797909407667,-0.35,0.3824210936422432,-0.32210884361884595,-0.07834522755325146,False
right,11,turn_left,turn_left,-0.10191637630662023,0.35,0.46968635642368994,-0.17144890372772537,0.12241667359596953,False
right,12,walk_forward,walk_forward,-0.017421602787456414,0.0,0.46968635642368994,-0.17144890372772537,0.14801406101612358,False
right,13,turn_right,turn_right,0.11933797909407667,-0.35,0.3824210936422432,-0.32210884361884595,0.0019032414422195387,False
right,14,turn_left,turn_left,-0.10191637630662023,0.35,0.46968635642368994,-0.17144890372772537,0.19739753747009203,False
right,15,walk_forward,walk_forward,-0.017421602787456414,0.0,0.46968635642368994,-0.17144890372772537,0.21937645824333174,False
right,16,turn_right,turn_right,0.11933797909407667,-0.35,0.3824210936422432,-0.32210884361884595,0.0763856869584334,False
