scenario,signal_pair,lag,correlation
left,sensor_change_to_motor_change,0,0.27706214988102906
left,sensor_change_to_motor_change,1,-0.17211392354177485
left,sensor_change_to_motor_change,2,-0.08635773416178279
left,sensor_change_to_motor_change,3,0.27332932984583136
left,sensor_change_to_motor_change,4,-0.17522288639833408
left,sensor_change_to_motor_change,5,-0.08782827135908865
left,sensor_change_to_motor_change,6,0.27876069485384436
left,sensor_change_to_motor_change,7,-0.17857119556327625
left,sensor_change_to_motor_change,8,-0.08937848933747503
left,sensor_change_to_motor_change,9,0.2845292665439421
left,sensor_change_to_motor_change,10,-0.1821216795046362
left,sensor_change_to_action_change,0,0.0
left,sensor_change_to_action_change,1,0.0
left,sensor_change_to_action_change,2,0.0
left,sensor_change_to_action_change,3,0.0
left,sensor_change_to_action_change,4,0.0
left,sensor_change_to_action_change,5,0.0
left,sensor_change_to_action_change,6,0.0
left,sensor_change_to_action_change,7,0.0
left,sensor_change_to_action_change,8,0.0
left,sensor_change_to_action_change,9,0.0
left,sensor_change_to_action_change,10,0.0
left,action_change_to_heading_change,0,0.0
left,action_change_to_heading_change,1,0.0
left,action_change_to_heading_change,2,0.0
left,action_change_to_heading_change,3,0.0
left,action_change_to_heading_change,4,0.0
left,action_change_to_heading_change,5,0.0
left,action_change_to_heading_change,6,0.0
left,action_change_to_heading_change,7,0.0
left,action_change_to_heading_change,8,0.0
left,action_change_to_heading_change,9,0.0
left,action_change_to_heading_change,10,0.0
left,sensor_asymmetry_to_turn_bias,0,0.10291553144532797
left,sensor_asymmetry_to_turn_bias,1,-0.019820674583724593
left,sensor_asymmetry_to_turn_bias,2,-0.09606412990502582
left,sensor_asymmetry_to_turn_bias,3,0.10512177015279157
left,sensor_asymmetry_to_turn_bias,4,-0.02041679047886576
left,sensor_asymmetry_to_turn_bias,5,-0.0980935148432618
left,sensor_asymmetry_to_turn_bias,6,0.10719606833800718
left,sensor_asymmetry_to_turn_bias,7,-0.02105874763850649
left,sensor_asymmetry_to_turn_bias,8,-0.10025374755738603
left,sensor_asymmetry_to_turn_bias,9,0.10939821282097187
left,sensor_asymmetry_to_turn_bias,10,-0.021752124747873733
left,turn_bias_to_heading_change,0,-0.12579961087756847
left,turn_bias_to_heading_change,1,0.351392728613448
left,turn_bias_to_heading_change,2,-0.24564629059966003
left,turn_bias_to_heading_change,3,-0.12339627435984238
left,turn_bias_to_heading_change,4,0.33567398069632165
left,turn_bias_to_heading_change,5,-0.23434083839101588
left,turn_bias_to_heading_change,6,-0.12097112848347788
left,turn_bias_to_heading_change,7,0.31870934701601117
left,turn_bias_to_heading_change,8,-0.22218056518346552
left,turn_bias_to_heading_change,9,-0.11856151233809033
left,turn_bias_to_heading_change,10,0.30026466583628236
right,sensor_change_to_motor_change,0,-0.00513794156102619
right,sensor_change_to_motor_change,1,-0.274115391079561
right,sensor_change_to_motor_change,2,0.16088268630756014
right,sensor_change_to_motor_change,3,0.022240688468782018
right,sensor_change_to_motor_change,4,-0.32091595400350476
right,sensor_change_to_motor_change,5,0.16777926960570486
right,sensor_change_to_motor_change,6,0.05687387776298012
right,sensor_change_to_motor_change,7,-0.3237371700702802
right,sensor_change_to_motor_change,8,0.17442754687450462
right,sensor_change_to_motor_change,9,0.08875986812681999
right,sensor_change_to_motor_change,10,-0.3282630388122102
right,sensor_change_to_action_change,0,-0.12511873732739698
right,sensor_change_to_action_change,1,0.0
right,sensor_change_to_action_change,2,0.0
right,sensor_change_to_action_change,3,0.0
right,sensor_change_to_action_change,4,0.0
right,sensor_change_to_action_change,5,0.0
right,sensor_change_to_action_change,6,0.0
right,sensor_change_to_action_change,7,0.0
right,sensor_change_to_action_change,8,0.0
right,sensor_change_to_action_change,9,0.0
right,sensor_change_to_action_change,10,0.0
right,action_change_to_heading_change,0,-0.18362416769061468
right,action_change_to_heading_change,1,-0.18871637625128626
right,action_change_to_heading_change,2,0.05364969220493452
right,action_change_to_heading_change,3,-0.19389168358237036
right,action_change_to_heading_change,4,-0.19973386548424032
right,action_change_to_heading_change,5,0.05219209075058751
right,action_change_to_heading_change,6,-0.2057525117947283
right,action_change_to_heading_change,7,-0.21254892419639573
right,action_change_to_heading_change,8,0.05052279240652234
right,action_change_to_heading_change,9,-0.21965544128999256
right,action_change_to_heading_change,10,-0.2276984648808395
right,sensor_asymmetry_to_turn_bias,0,0.0567332433221793
right,sensor_asymmetry_to_turn_bias,1,0.024913078874038
right,sensor_asymmetry_to_turn_bias,2,-0.12954866280340943
right,sensor_asymmetry_to_turn_bias,3,0.10303556411508145
right,sensor_asymmetry_to_turn_bias,4,0.02253863406030197
right,sensor_asymmetry_to_turn_bias,5,-0.1313013448421782
right,sensor_asymmetry_to_turn_bias,6,0.1082492661359926
right,sensor_asymmetry_to_turn_bias,7,0.020258692260478783
right,sensor_asymmetry_to_turn_bias,8,-0.13313717160666777
right,sensor_asymmetry_to_turn_bias,9,0.11337103131447367
right,sensor_asymmetry_to_turn_bias,10,0.018156869645961984
right,turn_bias_to_heading_change,0,0.07036751882075688
right,turn_bias_to_heading_change,1,0.32483626653316466
right,turn_bias_to_heading_change,2,-0.33866611298941685
right,turn_bias_to_heading_change,3,0.07631628889356151
right,turn_bias_to_heading_change,4,0.3113199550966452
right,turn_bias_to_heading_change,5,-0.3262240691919514
right,turn_bias_to_heading_change,6,0.08311461079901078
right,turn_bias_to_heading_change,7,0.2968563599953421
right,turn_bias_to_heading_change,8,-0.3128972336641275
right,turn_bias_to_heading_change,9,0.0909947446986986
right,turn_bias_to_heading_change,10,0.28129094869515303
front,sensor_change_to_motor_change,0,0.1062377875629287
front,sensor_change_to_motor_change,1,-0.08318292000319712
front,sensor_change_to_motor_change,2,0.09478475737063252
front,sensor_change_to_motor_change,3,-0.017522592600134872
front,sensor_change_to_motor_change,4,-0.08471342507377805
front,sensor_change_to_motor_change,5,0.09634385440455738
front,sensor_change_to_motor_change,6,-0.01784946808417586
front,sensor_change_to_motor_change,7,-0.0863314446958555
front,sensor_change_to_motor_change,8,0.09798350129558742
front,sensor_change_to_motor_change,9,-0.01819534681729108
