scenario,flywire_action,ideal_action,count,rate
left,turn_left,turn_left,33,0.33
left,turn_left,turn_right,0,0.0
left,turn_left,walk_forward,0,0.0
left,turn_right,turn_left,33,0.33
left,turn_right,turn_right,0,0.0
left,turn_right,walk_forward,0,0.0
left,walk_forward,turn_left,33,0.33
left,walk_forward,turn_right,0,0.0
left,walk_forward,walk_forward,0,0.0
right,turn_left,turn_left,0,0.0
right,turn_left,turn_right,33,0.33
right,turn_left,walk_forward,0,0.0
right,turn_right,turn_left,0,0.0
right,turn_right,turn_right,34,0.34
right,turn_right,walk_forward,0,0.0
right,walk_forward,turn_left,0,0.0
right,walk_forward,turn_right,33,0.33
right,walk_forward,walk_forward,0,0.0
front,turn_left,turn_left,0,0.0
front,turn_left,turn_right,0,0.0
front,turn_left,walk_forward,0,0.0
front,turn_right,turn_left,1,0.01
front,turn_right,turn_right,0,0.0
front,turn_right,walk_forward,0,0.0
front,walk_forward,turn_left,99,0.99
front,walk_forward,turn_right,0,0.0
front,walk_forward,walk_forward,0,0.0
