parameter,output,pearson_r,abs_r,mean_output,delta_mean_high_minus_low,effect_size,rank_by_abs_r
refractory_steps,dominant_period,-0.6221710168382552,0.6221710168382552,1.7654320987654322,-1.4814814814814814,-2.2399012774702114,1.0
weight_scale,dominant_period,-0.10887992794669468,0.10887992794669468,1.7654320987654322,-0.2592592592592593,-0.2670226599985378,2.0
threshold,dominant_period,0.07777137710478192,0.07777137710478192,1.7654320987654322,0.18518518518518512,0.18988777008299756,3.0
leak,dominant_period,0.047519096331149153,0.047519096331149153,1.7654320987654322,0.11111111111111116,0.11359928119746393,4.0
refractory_steps,mean_locomotion,-0.8842819201744196,0.8842819201744196,0.2917686829863561,-0.18469354687126413,-4.804789185500446,1.0
weight_scale,mean_locomotion,0.28890648589657225,0.28890648589657225,0.2917686829863561,0.06034180093134334,0.7341803642525702,2.0
threshold,mean_locomotion,-0.2140666091729339,0.2140666091729339,0.2917686829863561,-0.04471053904059863,-0.5241181829636036,3.0
leak,mean_locomotion,-0.008696784345013243,0.008696784345013243,0.2917686829863561,-0.00179514636054956,-0.020869143249560927,4.0
refractory_steps,mean_turn_bias,-0.832056052859165,0.832056052859165,0.2779603630412752,-0.17506343770391145,-3.7649400471511587,1.0
weight_scale,mean_turn_bias,0.33680095316235903,0.33680095316235903,0.2779603630412752,0.07086245269167776,0.8652373269013198,2.0
threshold,mean_turn_bias,-0.2512331860472007,0.2512331860472007,0.2779603630412752,-0.05285911335371746,-0.6234759107185832,3.0
leak,mean_turn_bias,-0.01349128527325876,0.01349128527325876,0.2779603630412752,-0.0028303551847900232,-0.0326343997879269,4.0
refractory_steps,motor_spikes,-0.4497290789843058,0.4497290789843058,76.10493827160494,-47.870370370370374,-1.198088786571352,1.0
weight_scale,motor_spikes,0.1219574794460342,0.1219574794460342,76.10493827160494,12.981481481481481,0.2975948545539663,2.0
threshold,motor_spikes,-0.09568703808176719,0.09568703808176719,76.10493827160494,-10.18518518518519,-0.23221062716897342,3.0
leak,motor_spikes,-0.0032270054613025875,0.0032270054613025875,76.10493827160494,-0.3333333333333286,-0.007600292782301382,4.0
refractory_steps,total_spikes,-0.44679737692854693,0.44679737692854693,5206.172839506173,-3281.0925925925926,-1.1884590419641679,1.0
weight_scale,total_spikes,0.15086998722693498,0.15086998722693498,5206.172839506173,1107.925925925926,0.3732079226886165,2.0
threshold,total_spikes,-0.11569943645047472,0.11569943645047472,5206.172839506173,-849.6481481481478,-0.28201545027672964,3.0
leak,total_spikes,-0.005282198443380677,0.005282198443380677,5206.172839506173,-38.66666666666697,-0.01277514164163843,4.0
refractory_steps,transition_rate,0.756274191515581,0.756274191515581,0.3873456790123457,0.43981481481481477,4.873155214398603,1.0
threshold,transition_rate,-0.11941171444982854,0.11941171444982854,0.3873456790123457,-0.06944444444444442,-0.29773072714103094,2.0
weight_scale,transition_rate,-0.011941171444982827,0.011941171444982827,0.3873456790123457,-0.00694444444444442,-0.02964616187666691,3.0
leak,transition_rate,0.003474369652893909,0.003474369652893909,0.3873456790123457,0.0,0.0,4.0
