condition,threshold,leak,weight_scale,refractory_steps,total_spikes,motor_spikes,mean_locomotion,mean_turn_bias,transition_rate,dominant_period
sensory,0.3,0.8,0.02,1,3566,55,0.39814814814814814,0.33377600708278,0.25,3
ascending,0.3,0.8,0.02,1,10326,149,0.38977635782747605,0.3959965187119234,0.125,3
sensory,0.3,0.8,0.02,2,2559,40,0.2880658436213992,0.2390438247011952,0.75,1
ascending,0.3,0.8,0.02,2,7579,110,0.2882499112531061,0.2905425007252684,0.125,1
sensory,0.3,0.8,0.02,3,1962,30,0.21810699588477367,0.18548030101814963,0.75,1
ascending,0.3,0.8,0.02,3,5420,78,0.20092296769613063,0.2082970699158689,0.5,1
sensory,0.3,0.8,0.04,1,4179,58,0.43415637860082307,0.41168658698539173,0.125,3
ascending,0.3,0.8,0.04,1,11141,160,0.4142705005324813,0.42674789672178703,0.125,3
sensory,0.3,0.8,0.04,2,3051,43,0.324074074074074,0.29969012837538733,0.125,1
ascending,0.3,0.8,0.04,2,8268,119,0.30848420305289315,0.317522483318828,0.625,1
sensory,0.3,0.8,0.04,3,2125,30,0.22016460905349794,0.21115537848605578,0.5,1
ascending,0.3,0.8,0.04,3,5652,82,0.20766773162939295,0.21554975340876126,0.75,1
sensory,0.3,0.8,0.06,1,4437,60,0.4393004115226337,0.43293492695883135,0.125,1
ascending,0.3,0.8,0.06,1,11432,164,0.42634007809726654,0.43414563388453725,0.125,3
sensory,0.3,0.8,0.06,2,3278,45,0.3292181069958848,0.3213811420982735,0.625,1
ascending,0.3,0.8,0.06,2,8521,123,0.3177138800141994,0.32477516681172036,0.625,1
sensory,0.3,0.8,0.06,3,2226,30,0.22016460905349797,0.217352810978309,0.5,1
ascending,0.3,0.8,0.06,3,5754,82,0.21405750798722042,0.21830577313606034,0.75,1
sensory,0.3,0.9,0.02,1,3544,55,0.397119341563786,0.3328906595838867,0.25,3
ascending,0.3,0.9,0.02,1,10301,149,0.38977635782747605,0.3957064113722077,0.125,3
sensory,0.3,0.9,0.02,2,2548,40,0.28497942386831276,0.2390438247011952,0.75,1
ascending,0.3,0.9,0.02,2,7561,110,0.2882499112531061,0.29025239338555264,0.125,1
sensory,0.3,0.9,0.02,3,1959,30,0.21810699588477364,0.18548030101814963,0.75,1
ascending,0.3,0.9,0.02,3,5406,78,0.20092296769613063,0.20786190890629533,0.5,1
sensory,0.3,0.9,0.04,1,4166,58,0.43415637860082307,0.4090305444887118,0.125,3
ascending,0.3,0.9,0.04,1,11125,160,0.4135605253816117,0.4264577893820714,0.125,3
sensory,0.3,0.9,0.04,2,3043,43,0.324074074074074,0.2979194333776007,0.125,1
ascending,0.3,0.9,0.04,2,8251,119,0.3077742279020234,0.3166521612996809,0.625,1
sensory,0.3,0.9,0.04,3,2135,30,0.22016460905349794,0.21071270473660914,0.625,1
ascending,0.3,0.9,0.04,3,5646,82,0.20837770678026268,0.21554975340876126,0.75,1
sensory,0.3,0.9,0.06,1,4437,60,0.4393004115226337,0.43293492695883135,0.125,1
ascending,0.3,0.9,0.06,1,11432,164,0.42634007809726654,0.43414563388453725,0.125,3
sensory,0.3,0.9,0.06,2,3276,45,0.3292181069958848,0.3209384683488269,0.625,1
ascending,0.3,0.9,0.06,2,8517,123,0.3177138800141994,0.3244850594720046,0.625,1
sensory,0.3,0.9,0.06,3,2203,30,0.22016460905349797,0.2151394422310757,0.625,3
ascending,0.3,0.9,0.06,3,5754,82,0.21334753283635072,0.21830577313606037,0.75,1
sensory,0.3,0.95,0.02,1,3541,55,0.397119341563786,0.3328906595838867,0.25,3
ascending,0.3,0.95,0.02,1,10290,149,0.3883564075257366,0.3951261966927763,0.125,3
sensory,0.3,0.95,0.02,2,2544,40,0.28497942386831276,0.23815847720230188,0.75,1
ascending,0.3,0.95,0.02,2,7554,110,0.2878949236776713,0.2901073397156948,0.125,1
sensory,0.3,0.95,0.02,3,1948,30,0.21810699588477367,0.18548030101814963,0.75,1
ascending,0.3,0.95,0.02,3,5396,78,0.20092296769613063,0.20800696257615317,0.625,1
sensory,0.3,0.95,0.04,1,4130,58,0.43415637860082307,0.4037184594953519,0.125,3
ascending,0.3,0.95,0.04,1,11098,160,0.41249556265530707,0.42631273571221345,0.125,3
sensory,0.3,0.95,0.04,2,3034,43,0.324074074074074,0.29526339088092074,0.125,1
